path,filename,label,label_id,split
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_112.jpg,Normal_112.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_118.jpg,Normal_118.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_134.jpg,Normal_134.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_15.jpg,Normal_15.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_152.jpg,Normal_152.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_165.jpg,Normal_165.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_168.jpg,Normal_168.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_181.jpg,Normal_181.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_194.jpg,Normal_194.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_199.jpg,Normal_199.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_206.jpg,Normal_206.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_210.jpg,Normal_210.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_218.jpg,Normal_218.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_238.jpg,Normal_238.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_27.jpg,Normal_27.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_56.jpg,Normal_56.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_60.jpg,Normal_60.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_61.jpg,Normal_61.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_69.jpg,Normal_69.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_85.jpg,Normal_85.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_91.jpg,Normal_91.jpg,Normal,0,test
/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Zhao2024/Normal/Normal_95.jpg,Normal_95.jpg,Normal,0,test
